house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac
leu,75,688806,2064,1197,600,1,0.92747,0.87114,2,1,1,"0,0,615,600;634,14,563,586",2,0,0.0,0,0.0,2,0,2,"10,11,583,580;605,25,582,553",2,0,0.0,0,0.0
leu,75,688825,2083,1129,600,1,0.92235,0.89803,2,1,1,"0,0,581,598;540,0,589,587",2,0,0.0,0,0.0,2,0,2,"571,10,549,581;9,13,552,577",2,0,0.0,214,0.00089
leu,75,688844,2102,1172,600,1,0.91868,0.89809,2,1,1,"0,0,612,600;572,0,600,600",2,0,0.0,0,0.0,2,0,2,"9,11,577,579;596,17,568,567",2,0,0.0,36,0.00014
leu,75,688862,2120,1199,590,1,0.89535,0.90069,2,1,1,"0,0,611,590;577,0,622,590",2,0,0.0,0,0.0,2,0,3,"9,22,584,559;632,7,557,558",2,0,0.0,0,0.0
leu,75,688881,2139,1198,600,1,0.9143,0.86691,2,1,1,"0,22,587,578;594,0,604,600",2,0,0.0,0,0.0,2,0,2,"602,11,588,580;9,15,582,576",2,0,0.0,50,0.0002
leu,75,688900,2158,1195,600,1,0.9171,0.88419,2,1,1,"3,0,608,589;579,0,616,600",2,0,0.0,0,0.0,2,0,2,"9,12,582,579;602,15,584,572",2,0,0.0,0,0.0
leu,75,688919,2177,1200,573,1,0.93786,0.99737,2,0,2,"9,15,587,546;608,18,582,545",2,0,0.0,0,0.0,2,0,2,"608,18,582,545;9,15,587,546",2,0,0.0,0,0.0
leu,75,688937,2195,1152,600,1,0.92887,0.88266,2,1,1,"0,0,592,600;588,2,564,588",2,0,0.0,0,0.0,2,0,2,"580,14,563,577;10,18,559,565",2,0,0.0,59,0.00024
leu,75,688956,2214,1200,597,1,0.91822,0.89274,2,1,1,"0,0,590,597;587,0,613,597",2,0,0.0,0,0.0,2,0,2,"607,27,582,560;11,24,584,559",2,0,0.0,0,0.0
leu,75,688975,2233,1200,573,1,0.92427,0.87676,2,1,1,"9,0,602,573;617,0,583,573",2,0,0.0,0,0.0,2,0,2,"607,16,584,548;10,15,586,544",2,0,0.0,0,0.0
leu,75,688994,2252,1200,577,1,0.89452,0.9197,2,1,1,"3,0,628,577;560,0,638,577",2,0,0.0,0,0.0,2,0,2,"603,18,588,549;9,14,583,553",2,0,0.0,0,0.0
